=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
Datafile_HelpText 485                                  := Dlg Comparisons [%ItemNum%] Descr
Datafile_HelpText 486                                  := Dlg Construction Queues [%ItemNum%] Descr
Datafile_HelpText 487                                  := Dlg Construction Queue Set [%ItemNum%] Descr
Datafile_HelpText 488                                  := Dlg Controls Window [%ItemNum%] Descr
Datafile_HelpText 489                                  := Dlg Convert Resources [%ItemNum%] Descr
Datafile_HelpText 490                                  := Dlg Designs [%ItemNum%] Descr
Datafile_HelpText 491                                  := Dlg Design Create [%ItemNum%] Descr
Datafile_HelpText 492                                  := Dlg Display Setup [%ItemNum%] Descr
Datafile_HelpText 493                                  := Dlg Empires [%ItemNum%] Descr
Datafile_HelpText 494                                  := Dlg Empire Options [%ItemNum%] Descr
Datafile_HelpText 495                                  := Dlg Fleet Transfer [%ItemNum%] Descr
Datafile_HelpText 496                                  := Dlg Game Menu [%ItemNum%] Descr
Datafile_HelpText 497                                  := Dlg Game Options [%ItemNum%] Descr
Datafile_HelpText 498                                  := Dlg Game Setup - Map [%ItemNum%] Descr
Datafile_HelpText 499                                  := Dlg Game Setup - Empires [%ItemNum%] Descr
Datafile_HelpText 500                                  := Dlg Game Setup - Game Options [%ItemNum%] Descr
Datafile_HelpText 501                                  := Dlg Game Setup – Multiplayer [%ItemNum%] Descr
Datafile_HelpText 502                                  := Dlg Game Setup - Victory Conditions [%ItemNum%] Descr
Datafile_HelpText 503                                  := Dlg Help [%ItemNum%] Descr
Datafile_HelpText 504                                  := Dlg Help Options [%ItemNum%] Descr
Datafile_HelpText 505                                  := Dlg Intelligence [%ItemNum%] Descr
Datafile_HelpText 506                                  := Dlg Launch/Recover Units [%ItemNum%] Descr
Datafile_HelpText 507                                  := Dlg Load / Save Game [%ItemNum%] Descr
Datafile_HelpText 508                                  := Dlg Load / Save Generic [%ItemNum%] Descr
Datafile_HelpText 509                                  := Dlg Log [%ItemNum%] Descr
Datafile_HelpText 510                                  := Dlg Login [%ItemNum%] Descr
Datafile_HelpText 511                                  := Dlg Main Window [%ItemNum%] Descr
Datafile_HelpText 512                                  := Dlg Main Window  - Command Button Panel [%ItemNum%] Descr
Datafile_HelpText 513                                  := Dlg Main Window  - Orders Panel [%ItemNum%] Descr
Datafile_HelpText 514                                  := Dlg Main Window  - Quadrant Map [%ItemNum%] Descr
Datafile_HelpText 515                                  := Dlg Main Window  - Ship List [%ItemNum%] Descr
Datafile_HelpText 516                                  := Dlg Main Window  - Status Bar [%ItemNum%] Descr
Datafile_HelpText 517                                  := Dlg Main Window  - System Display [%ItemNum%] Descr
Datafile_HelpText 518                                  := Dlg Planets [%ItemNum%] Descr
Datafile_HelpText 519                                  := Dlg Players [%ItemNum%] Descr
Datafile_HelpText 520                                  := Dlg Player Setup – Empire Details [%ItemNum%] Descr
Datafile_HelpText 521                                  := Dlg Player Setup – Race Details [%ItemNum%] Descr
Datafile_HelpText 522                                  := Dlg Player Setup – Government [%ItemNum%] Descr
Datafile_HelpText 523                                  := Dlg Player Setup – Society [%ItemNum%] Descr
Datafile_HelpText 524                                  := Dlg Player Setup – Racial Traits [%ItemNum%] Descr
Datafile_HelpText 525                                  := Dlg Player Setup – Technology [%ItemNum%] Descr
Datafile_HelpText 526                                  := Dlg Player Setup – History [%ItemNum%] Descr
Datafile_HelpText 527                                  := Dlg Quadrant Map [%ItemNum%] Descr
Datafile_HelpText 528                                  := Dlg Quick Start [%ItemNum%] Descr
Datafile_HelpText 529                                  := Dlg Queue Settings [%ItemNum%] Descr
Datafile_HelpText 530                                  := Dlg Report - Combat Piece Ground [%ItemNum%] Descr
Datafile_HelpText 531                                  := Dlg Report - Combat Piece Space [%ItemNum%] Descr
Datafile_HelpText 532                                  := Dlg Report - Component [%ItemNum%] Descr
Datafile_HelpText 533                                  := Dlg Report - Cultural Achievement [%ItemNum%] Descr
Datafile_HelpText 534                                  := Dlg Report - Damage Type [%ItemNum%] Descr
Datafile_HelpText 535                                  := Dlg Report - Empire [%ItemNum%] Descr
Datafile_HelpText 536                                  := Dlg Report - Experience Type [%ItemNum%] Descr
Datafile_HelpText 537                                  := Dlg Report - Facility [%ItemNum%] Descr
Datafile_HelpText 538                                  := Dlg Report - Fleet [%ItemNum%] Descr
Datafile_HelpText 539                                  := Dlg Report - Formation [%ItemNum%] Descr
Datafile_HelpText 540                                  := Dlg Report - Government Type [%ItemNum%] Descr
Datafile_HelpText 541                                  := Dlg Report - Mount [%ItemNum%] Descr
Datafile_HelpText 542                                  := Dlg Report - Planet [%ItemNum%] Descr
Datafile_HelpText 543                                  := Dlg Report - Race [%ItemNum%] Descr
Datafile_HelpText 544                                  := Dlg Report - Ship [%ItemNum%] Descr
Datafile_HelpText 545                                  := Dlg Report - Society Type [%ItemNum%] Descr
Datafile_HelpText 546                                  := Dlg Report - Star [%ItemNum%] Descr
Datafile_HelpText 547                                  := Dlg Report - Storm [%ItemNum%] Descr
Datafile_HelpText 548                                  := Dlg Report - Strategy [%ItemNum%] Descr
Datafile_HelpText 549                                  := Dlg Report - Tech Area [%ItemNum%] Descr
Datafile_HelpText 550                                  := Dlg Report - Unit [%ItemNum%] Descr
Datafile_HelpText 551                                  := Dlg Report - Unit Group [%ItemNum%] Descr
Datafile_HelpText 552                                  := Dlg Report - Vehicle Design [%ItemNum%] Descr
Datafile_HelpText 553                                  := Dlg Report - Vehicle Size [%ItemNum%] Descr
Datafile_HelpText 554                                  := Dlg Report - Warp Point [%ItemNum%] Descr
Datafile_HelpText 555                                  := Dlg Report - Weapon [%ItemNum%] Descr
Datafile_HelpText 556                                  := Dlg Research [%ItemNum%] Descr
Datafile_HelpText 557                                  := Dlg Retrofit [%ItemNum%] Descr
Datafile_HelpText 558                                  := Dlg Scrap [%ItemNum%] Descr
Datafile_HelpText 559                                  := Dlg Sector View [%ItemNum%] Descr
Datafile_HelpText 560                                  := Dlg Select Alliance Rules [%ItemNum%] Descr
Datafile_HelpText 561                                  := Dlg Select Game Type [%ItemNum%] Descr
Datafile_HelpText 562                                  := Dlg Select Package [%ItemNum%] Descr
Datafile_HelpText 563                                  := Dlg Select Treaty Elements [%ItemNum%] Descr
Datafile_HelpText 564                                  := Dlg Select Vehicle Size [%ItemNum%] Descr
Datafile_HelpText 565                                  := Dlg Ships [%ItemNum%] Descr
Datafile_HelpText 566                                  := Dlg Systems [%ItemNum%] Descr
Datafile_HelpText 567                                  := Dlg TCPIP Host [%ItemNum%] Descr
Datafile_HelpText 568                                  := Dlg TCPIP Player [%ItemNum%] Descr
Datafile_HelpText 569                                  := Dlg Transfer Cargo [%ItemNum%] Descr
Datafile_HelpText 570                                  := Dlg Weapons Grid [%ItemNum%] Descr
Datafile_HelpText 571                                  := Dlg Report - Asteroids [%ItemNum%] Descr
Datafile_HelpText 572                                  := Dlg Report - Monster [%ItemNum%] Descr
Datafile_HelpText 573                                  := Header Bar Button [%ItemNum%] Descr
Datafile_HelpText 574                                  := Status Icon [%ItemNum%] Descr
Datafile_HelpText 575                                  := Dlg Report - Intelligence Achievement [%ItemNum%] Descr
Datafile_HelpText 576                                  := Dlg Create Custom Layout [%ItemNum%] Name
Datafile_HelpText 577                                  := Dlg Create Custom Layout [%ItemNum%] Descr
Datafile_HelpText 578                                  := Dlg Report - Alliance [%ItemNum%] Name
Datafile_HelpText 579                                  := Dlg Report - Alliance [%ItemNum%] Descr
Datafile_HelpText 580                                  := Button Control Panel Lock System View Name
Datafile_HelpText 581                                  := Button Control Panel Lock System View Descr
Datafile_HelpText 582                                  := Button Control Panel Unlock System View Name
Datafile_HelpText 583                                  := Button Control Panel Unlock System View Descr
Datafile_HomeworldStartingFacilities 1                 := Homeworld Starting Facilities Data File
Datafile_HomeworldStartingFacilities 2                 := Name
Datafile_HomeworldStartingFacilities 3                 := Low Tech Starting Game
Datafile_HomeworldStartingFacilities 4                 := All Tech Starting Game
Datafile_HomeworldStartingFacilities 5                 := Number Of Facilities
Datafile_HomeworldStartingFacilities 6                 := Facility [%FacilNum%] Name 
Datafile_HomeworldStartingFacilities 7                 := [%FacilNum%]
Datafile_HomeworldStartingFacilities 8                 := Percent Of Space To Use
Datafile_HUDSettings 1                                 := HUD Settings File Errors:
Datafile_HUDSettings 2                                 := HUD Settings
Datafile_HUDSettings 3                                 := Main Button
Datafile_HUDSettings 4                                 := X
Datafile_HUDSettings 5                                 := Y
Datafile_HUDSettings 6                                 := Order Button
Datafile_HUDSettings 7                                 := Quadrant Map Main System Square Width
Datafile_HUDSettings 8                                 := Quadrant Map Main System Square Height
Datafile_HUDSettings 9                                 := Quadrant Map Main X
Datafile_HUDSettings 10                                := Quadrant Map Main Y
Datafile_HUDSettings 11                                := Quadrant Map Main Width
Datafile_HUDSettings 12                                := Quadrant Map Main Height
Datafile_HUDSettings 13                                := Quadrant Map Main Container X
Datafile_HUDSettings 14                                := Quadrant Map Main Container Y
Datafile_HUDSettings 15                                := Quadrant Map Main Container Width
Datafile_HUDSettings 16                                := Quadrant Map Main Container Height
Datafile_HUDSettings 17                                := Compass X
Datafile_HUDSettings 18                                := Compass Y
Datafile_HUDSettings 19                                := Weapon Bank
Datafile_HUDSettings 20                                := Comps For Use Start X
Datafile_HUDSettings 21                                := Comps For Use Start Y
Datafile_HUDSettings 22                                := Stardate Title Middle X
Datafile_HUDSettings 23                                := Stardate Title Middle Y
Datafile_HUDSettings 24                                := Stardate Middle X
Datafile_HUDSettings 25                                := Stardate Middle Y
Datafile_HUDSettings 26                                := Time Rate Middle X
Datafile_HUDSettings 27                                := Time Rate Middle Y
Datafile_HUDSettings 28                                := Speed Bar X
Datafile_HUDSettings 29                                := Speed Bar Y
Datafile_HUDSettings 30                                := Crew Bar X
Datafile_HUDSettings 31                                := Crew Bar Y
Datafile_HUDSettings 32                                := Energy Bar X
Datafile_HUDSettings 33                                := Energy Bar Y
Datafile_HUDSettings 34                                := Target Readout Display X
Datafile_HUDSettings 35                                := Target Readout Display Y
Datafile_HUDSettings 36                                := Target Readout Display Width
Datafile_HUDSettings 37                                := Target Readout Display Height
Datafile_HUDSettings 38                                := Self Readout Display X
Datafile_HUDSettings 39                                := Self Readout Display Y
Datafile_HUDSettings 40                                := Self Readout Display Width
Datafile_HUDSettings 41                                := Self Readout Display Height
Datafile_HUDSettings 42                                := Shuttle Over Button X
Datafile_HUDSettings 43                                := Shuttle Over Button Y
Datafile_HUDSettings 44                                := Fighter Control X
Datafile_HUDSettings 45                                := Fighter Control Y
Datafile_HUDSettings 46                                := Windowed Width
Datafile_HUDSettings 47                                := Windowed Height
Datafile_IntelFocusAreas 1                             := Intel Focus Areas Data File
Datafile_IntelFocusAreas 2                             := Name
Datafile_IntelFocusAreas 3                             := Description
Datafile_IntelProjects 1                               := Intel Projects Data File
Datafile_IntelProjects 2                               := Name
Datafile_IntelProjects 3                               := Description
Datafile_IntelProjects 4                               := Group
Datafile_IntelProjects 5                               := Maximum Level
Datafile_IntelProjects 6                               := Intelligence Cost
Datafile_Inventory_Layout 1                            := InvConfiguration Slots Data File
Datafile_Inventory_Layout 2                            := Layout Name
Datafile_Inventory_Layout 3                            := Number Of Slots
Datafile_Inventory_Layout 4                            := [%RecNum%]
Datafile_Inventory_Layout 5                            := Slot [%RecNum%] Pixel Position
Datafile_Inventory_Layout 6                            := Slot [%RecNum%] Group Name
Datafile_Inventory_Layout 7                            := Slot [%RecNum%] Ship Section
Datafile_Messages 1                                    := None
Datafile_Messages 2                                    := Owner
Datafile_Messages 3                                    := Sector
Datafile_Messages 4                                    := System
Datafile_Messages 5                                    := All
Datafile_Messages 6                                    := Source
Datafile_Messages 7                                    := Target
Datafile_Messages 8                                    := Immediately
Datafile_Messages 9                                    := At Completion
Datafile_Messages 10                                   := At Completion Minus 10
Datafile_Messages 11                                   := At Completion Minus 5
Datafile_Messages 12                                   := At Completion Minus 4
Datafile_Messages 13                                   := At Completion Minus 3
Datafile_Messages 14                                   := At Completion Minus 2
Datafile_Messages 15                                   := At Completion Minus 1
Datafile_Messages 16                                   := At Completion Plus 1
Datafile_Messages 17                                   := Number Of Messages
Datafile_Messages 18                                   := Message
Datafile_Messages 19                                   := To
Datafile_Messages 20                                   := When
Datafile_Messages 21                                   := Title
Datafile_Messages 22                                   := Text
Datafile_Messages 23                                   := Picture Filename
Datafile_Minister_Style 1                              := Minister Style Data File
Datafile_Minister_Style 2                              := Minister Style Name
Datafile_Minister_Style 3                              := AI Script File
Datafile_Minister_Style 4                              := AI Script Empire Setup File
Datafile_Minister_Style 5                              := AI General File
Datafile_Minister_Style 6                              := AI Ministers File
Datafile_Minister_Style 7                              := AI Speech File
Datafile_Minister_Style 8                              := AI Strategies File
Datafile_Minister_Style 9                              := AI Warp Transit Types File
Datafile_ModDefinition 1                               := Mod Definition Data File
Datafile_ModDefinition 2                               := Mod Name
Datafile_ModDefinition 3                               := Description
Datafile_ModDefinition 4                               := Picture Filename
Datafile_ModDefinition 5                               := Allow Main Empires
Datafile_ModDefinition 6                               := Override InvConfiguration Slots
Datafile_PlanetPhysicalTypes 1                         := Planet Physical Types Data File
Datafile_PlanetPhysicalTypes 2                         := Name
Datafile_PlanetPhysicalTypes 3                         := Description
Datafile_PlanetPhysicalTypes 4                         := Picture Index
Datafile_PlanetPhysicalTypes 5                         := Tech Area For Colonization
Datafile_PlanetSize 1                                  := Planet Size Data File
Datafile_PlanetSize 2                                  := Name
Datafile_PlanetSize 3                                  := Physical Type
Datafile_PlanetSize 4                                  := Stellar Size
Datafile_PlanetSize 5                                  := Max Population
Datafile_PlanetSize 6                                  := Max Facility Space
Datafile_PlanetSize 7                                  := Max Cargo Space
Datafile_PlanetSize 8                                  := Max Supply Storage
Datafile_PlanetSize 9                                  := Max Ordnance Storage
Datafile_PlanetSize 10                                 := Domed Max Population
Datafile_PlanetSize 11                                 := Domed Max Facility Space
Datafile_PlanetSize 12                                 := Domed Max Cargo Space
Datafile_PlanetSize 13                                 := Domed Max Supply Storage
Datafile_PlanetSize 14                                 := Domed Max Ordnance Storage
Datafile_PlanetSize 15                                 := Constructed
Datafile_PlanetSize 16                                 := Special Ability ID
Datafile_RacialTraits 1                                := Racial Traits Data File
Datafile_RacialTraits 2                                := Name
Datafile_RacialTraits 3                                := Picture Number
Datafile_RacialTraits 4                                := Racial Cost
Datafile_Requirements 1                                := Number of Requirements
Datafile_Requirements 2                                := Requirements Evaluation Availability
Datafile_Requirements 3                                := true
Datafile_Requirements 4                                := false
Datafile_Requirements 5                                := and
Datafile_Requirements 6                                := or
Datafile_Requirements 7                                := Requirements Evaluation Allows Placement
Datafile_Requirements 8                                := Requirements Evaluation Allows Usage
Datafile_Requirements 9                                := [%RecNum%]
Datafile_Requirements 10                               := Requirement [%RecNum%] Description
Datafile_Requirements 11                               := Requirement [%RecNum%] Formula
Datafile_Requirements 12                               := [%Level%]
Datafile_ResourceCost 1                                := Cost Minerals Formula
Datafile_ResourceCost 2                                := Cost Organics Formula
Datafile_ResourceCost 3                                := Cost Radioactives Formula
Datafile_ResourceCost 4                                := [%Level%]
Datafile_ScenarioSettings 1                            := Scenario Settings
Datafile_ScenarioSettings 2                            := Settings
Datafile_ScenarioSettings 3                            := Name
Datafile_ScenarioSettings 4                            := Description
Datafile_ScenarioSettings 5                            := Starting Game Filename
Datafile_ScenarioSettings 6                            := Create New Game
Datafile_ScenarioSettings 7                            := New Game Seed
Datafile_ScenarioSettings 8                            := New Game Empire
Datafile_ScenarioText 1                                := Scenario Text
Datafile_ScenarioText 2                                := ID
Datafile_ScenarioText 3                                := Series
Datafile_ScenarioText 4                                := Segment
Datafile_ScenarioText 5                                := Turn
Datafile_ScenarioText 6                                := For Players
Datafile_ScenarioText 7                                := Text Title
Datafile_ScenarioText 8                                := Text Number of Paragraphs
Datafile_ScenarioText 9                                := Text Paragraph [%ParaNum%]
Datafile_ScenarioText 10                               := Image
Datafile_ScenarioText 11                               := Window Placement
Datafile_ScenarioText 12                               := Bottom Left
Datafile_ScenarioText 13                               := Bottom Right
Datafile_ScenarioText 14                               := Top Left
Datafile_ScenarioText 15                               := Top Right
Datafile_ScenarioText 16                               := Center
Datafile_ScenarioText 17                               := None
Datafile_ScenarioText 18                               := Bottom Center
Datafile_ScenarioText 19                               := Top Center
Datafile_ScenarioText 20                               := Left Center
Datafile_ScenarioText 21                               := Right Center
Datafile_ScenarioText 22                               := [%ParaNum%]
Datafile_ScoreWeighting 1                              := Score Weighting Data File
Datafile_ScoreWeighting 2                              := Score Factor - Empire Cultural Points
Datafile_ScoreWeighting 3                              := Score Factor - Empire Minerals Available
Datafile_ScoreWeighting 4                              := Score Factor - Empire Organics Available
Datafile_ScoreWeighting 5                              := Score Factor - Empire Radioactives Available
Datafile_ScoreWeighting 6                              := Score Factor - Empire Research Points Available
Datafile_ScoreWeighting 7                              := Score Factor - Empire Intelligence Points Available
Datafile_ScoreWeighting 8                              := Score Factor - Empire Minerals Generated Per Turn
Datafile_ScoreWeighting 9                              := Score Factor - Empire Organics Generated Per Turn
Datafile_ScoreWeighting 10                             := Score Factor - Empire Radioactives Generated Per Turn
Datafile_ScoreWeighting 11                             := Score Factor - Empire Research Points Generated Per Turn
Datafile_ScoreWeighting 12                             := Score Factor - Empire Intelligence Points Generated Per Turn
Datafile_ScoreWeighting 13                             := Score Factor - Empire Total Tech Levels
Datafile_ScoreWeighting 14                             := Score Factor - Empire Total Tech Level Cost
Datafile_ScoreWeighting 15                             := Score Factor - Total Systems Seen
Datafile_ScoreWeighting 16                             := Score Factor - Total Systems With Colonies
Datafile_ScoreWeighting 17                             := Score Factor - Number Of Colonies
Datafile_ScoreWeighting 18                             := Score Factor - Number Of Facilities
Datafile_ScoreWeighting 19                             := Score Factor - Total Facility Tonnage
Datafile_ScoreWeighting 20                             := Score Factor - Total Facility Resource Cost
Datafile_ScoreWeighting 21                             := Score Factor - Total Population
Datafile_ScoreWeighting 22                             := Score Factor - Number Of Units In Space
Datafile_ScoreWeighting 23                             := Score Factor - Number Of Units On Planets
Datafile_ScoreWeighting 24                             := Score Factor - Number Of Units In Ship Cargo
Datafile_ScoreWeighting 25                             := Score Factor - Number Of Ships
Datafile_ScoreWeighting 26                             := Score Factor - Number Of Mothballed Ships
Datafile_ScoreWeighting 27                             := Score Factor - Number Of Bases
Datafile_ScoreWeighting 28                             := Score Factor - Number Of Mothballed Bases
Datafile_ScoreWeighting 29                             := Score Factor - Total Unit Tonnage In Space
Datafile_ScoreWeighting 30                             := Score Factor - Total Unit Tonnage On Planets
Datafile_ScoreWeighting 31                             := Score Factor - Total Unit Tonnage In Ship Cargo
Datafile_ScoreWeighting 32                             := Score Factor - Total Ship Tonnage
Datafile_ScoreWeighting 33                             := Score Factor - Total Mothballed Ship Tonnage
Datafile_ScoreWeighting 34                             := Score Factor - Total Base Tonnage
Datafile_ScoreWeighting 35                             := Score Factor - Total Mothballed Base Tonnage
Datafile_ScoreWeighting 36                             := Score Factor - Total Unit Resource Cost In Space
Datafile_ScoreWeighting 37                             := Score Factor - Total Unit Resource Cost On Planets
Datafile_ScoreWeighting 38                             := Score Factor - Total Unit Resource Cost In Ship Cargo
Datafile_ScoreWeighting 39                             := Score Factor - Total Ship Resource Cost
Datafile_ScoreWeighting 40                             := Score Factor - Total Mothballed Ship Resource Cost
Datafile_ScoreWeighting 41                             := Score Factor - Total Base Resource Cost
Datafile_ScoreWeighting 42                             := Score Factor - Total Mothballed Base Resource Cost
Datafile_ScoreWeighting 43                             := Score Factor - Number Of Allies
Datafile_ScoreWeighting 44                             := Score Factor - Number Of Enemies
Datafile_ShieldAndArmorLevels 1                        := Shield And Armor Levels Data File
Datafile_ShieldAndArmorLevels 2                        := Shield Levels
Datafile_ShieldAndArmorLevels 3                        := Number Of Shield Levels
Datafile_ShieldAndArmorLevels 4                        := Shield Level [%LevelNum%] Name
Datafile_ShieldAndArmorLevels 5                        := [%LevelNum%]
Datafile_ShieldAndArmorLevels 6                        := Armor Levels
Datafile_ShieldAndArmorLevels 7                        := Number Of Armor Levels
Datafile_ShieldAndArmorLevels 8                        := Armor Level [%LevelNum%] Name
Datafile_ShipCompEnhancement 1                         := Component Enhancements File
Datafile_ShipCompEnhancement 2                         := Long Name
Datafile_ShipCompEnhancement 3                         := Short Name
Datafile_ShipCompEnhancement 4                         := Description
Datafile_ShipCompEnhancement 5                         := Picture Number
Datafile_ShipCompEnhancement 6                         := Code
Datafile_ShipCompEnhancement 7                         := Maximum Level
Datafile_ShipCompEnhancement 8                         := Can Be Placed On Vehicle Types
Datafile_ShipCompEnhancement 9                         := This mount can only be placed on vehicle types
Datafile_ShipCompEnhancement 10                        := any
Datafile_ShipComponent 1                               := Components Data File
Datafile_ShipComponent 2                               := Components Data File Error
Datafile_ShipComponent 3                               := This is an invalid data file for this demo version.
Datafile_ShipComponent 4                               := [Component Name]
Datafile_ShipComponent 5                               := [Tonnage Space]
Datafile_ShipComponent 6                               := [Tonnage Structure]
Datafile_ShipComponent 7                               := [Supply Amount Used]
Datafile_ShipComponent 8                               := [Ordnance Amount Used]
Datafile_ShipComponent 9                               := [Vehicle Types]
Datafile_ShipComponent 10                              := [Ship Sections]
Datafile_ShipComponent 11                              := [Abbr Ship Sections]
Datafile_ShipComponent 12                              := [Component Types]
Datafile_ShipComponent 13                              := [General Group]
Datafile_ShipComponent 14                              := Name
Datafile_ShipComponent 15                              := Description
Datafile_ShipComponent 16                              := Picture Number
Datafile_ShipComponent 17                              := Maximum Level
Datafile_ShipComponent 18                              := Tonnage Structure Formula
Datafile_ShipComponent 19                              := Tonnage Space Taken Formula
Datafile_ShipComponent 20                              := Supply Amount Used Formula
Datafile_ShipComponent 21                              := Ordnance Amount Used Formula
Datafile_ShipComponent 22                              := Can Be Placed On Vehicle Types
Datafile_ShipComponent 23                              := Can Be Placed In Ship Sections
Datafile_ShipComponent 24                              := Component Type List
Datafile_ShipComponent 25                              := General Group
Datafile_ShipComponent 26                              := Custom Group
Datafile_ShipComponent 27                              := Weapon Type
Datafile_ShipComponent 28                              := Weapon Target Type List
Datafile_ShipComponent 29                              := Weapon Damage Type Formula
Datafile_ShipComponent 30                              := Weapon Space At Range Distance Increment
Datafile_ShipComponent 31                              := Weapon Space Min Damage At Range
Datafile_ShipComponent 32                              := Weapon Space Max Damage At Range
Datafile_ShipComponent 33                              := Weapon Space To Hit Modifier At Range
Datafile_ShipComponent 34                              := Weapon Space Min Damage Modifier Formula
Datafile_ShipComponent 35                              := Weapon Space Max Damage Modifier Formula
Datafile_ShipComponent 36                              := Weapon Space To Hit Modifier Formula
Datafile_ShipComponent 37                              := Weapon Reload Rate MS Formula
Datafile_ShipComponent 38                              := Weapon Display Type
Datafile_ShipComponent 39                              := Weapon Space Display Effect Name
Datafile_ShipComponent 40                              := Weapon Explosion Effect Name
Datafile_ShipComponent 41                              := Weapon Sound Effect Name
Datafile_ShipComponent 42                              := Weapon Bolt Speed
Datafile_ShipComponent 43                              := Weapon Beam Burn Color
Datafile_ShipComponent 44                              := Weapon Beam Duration
Datafile_ShipComponent 45                              := Weapon Beam Speed
Datafile_ShipComponent 46                              := Weapon Seeker Speed Formula
Datafile_ShipComponent 47                              := Weapon Seeker Tonnage Structure Formula
Datafile_ShipComponent 48                              := Weapon Seeker Defense Modifier Formula
Datafile_ShipComponent 49                              := Weapon Seeker Turn Rate
Datafile_ShipComponent 50                              := [%Level%]
Datafile_ShipComponent 51                              := [%Range%]
Datafile_ShipComponent 52                              := kT
Datafile_ShipComponent 53                              := This component can only be placed in the ship sections
Datafile_ShipComponent 54                              := This component can only be placed on vehicle types
Datafile_ShipComponent 55                              := K
Datafile_ShipComponent 56                              := Weapon Ground Display Effect Name
Datafile_ShipComponent 57                              := [%FiringRate%] seconds
Datafile_ShipComponent 58                              := [%FiringRate%]
Datafile_ShipComponent 59                              := Weapon Ground At Range Distance Increment
Datafile_ShipComponent 60                              := Weapon Ground Min Damage At Range
Datafile_ShipComponent 61                              := Weapon Ground Max Damage At Range
Datafile_ShipComponent 62                              := Weapon Ground To Hit Modifier At Range
Datafile_ShipComponent 63                              := Weapon Ground Min Damage Modifier Formula
Datafile_ShipComponent 64                              := Weapon Ground Max Damage Modifier Formula
Datafile_ShipComponent 65                              := Weapon Ground To Hit Modifier Formula
Datafile_ShipComponent 66                              := Weapon Delivery Type
Datafile_ShipComponent 67                              := [Random Specific Type]
Datafile_ShipExperienceLevels 1                        := Ship Experience Data File
Datafile_ShipExperienceLevels 2                        := Ship Experience Model Name
Datafile_ShipExperienceLevels 3                        := Description
Datafile_ShipExperienceLevels 4                        := Number of Crew Experience Levels
Datafile_ShipExperienceLevels 5                        := [%CrewLvlNum%]
Datafile_ShipExperienceLevels 6                        := Crew Level [%CrewLvlNum%] Name
Datafile_ShipExperienceLevels 7                        := Crew Level [%CrewLvlNum%] Experience Amount
Datafile_ShipExperienceLevels 8                        := Experience Per Turn For Staying Alive
Datafile_ShipExperienceLevels 9                        := Experience Per Turn For Being Mothballed
Datafile_ShipExperienceLevels 10                       := Experience Per Tonnage For Damaging Enemy Ship
Datafile_ShipExperienceLevels 11                       := Experience Per Tonnage For Damaging Enemy Base
Datafile_ShipExperienceLevels 12                       := Experience Per Tonnage For Damaging Enemy Seeker
Datafile_ShipExperienceLevels 13                       := Experience Per Tonnage For Damaging Enemy Unit
Datafile_ShipExperienceLevels 14                       := Experience Per Tonnage For Damaging Enemy Facility
Datafile_ShipExperienceLevels 15                       := Experience Per Tonnage For Killing Enemy Ship
Datafile_ShipExperienceLevels 16                       := Experience Per Tonnage For Killing Enemy Base
Datafile_ShipExperienceLevels 17                       := Experience Per Tonnage For Killing Enemy Seeker
Datafile_ShipExperienceLevels 18                       := Experience Per Tonnage For Killing Enemy Unit
Datafile_ShipExperienceLevels 19                       := Experience Per Tonnage For Killing Enemy Facility
Datafile_ShipExperienceLevels 20                       := Experience Per Population For Damaging Enemy Planet
Datafile_Societies 1                                   := Society Types Data File
Datafile_Societies 2                                   := Name
Datafile_Societies 3                                   := Description
Datafile_StellarObjTypes 1                             := Stellar Object Type Data File
Datafile_StellarObjTypes 2                             := Stellar Object Name
Datafile_StellarObjTypes 3                             := XFile Class Name
Datafile_StellarObjTypes 4                             := Maximum Model Size
Datafile_StellarObjTypes 5                             := Picture Index
Datafile_StellarObjTypes 6                             := Portrait Filename
Datafile_StellarObjTypes 7                             := Large Portrait Filename
Datafile_StellarObjTypes 8                             := Description
Datafile_StellarObjTypes 9                             := Physical Type
Datafile_StellarObjTypes 10                            := Planet Size
Datafile_StellarObjTypes 11                            := Planet Physical Type
Datafile_StellarObjTypes 12                            := Planet Atmosphere
Datafile_StellarObjTypes 13                            := Planet Surface Empty
Datafile_StellarObjTypes 14                            := Planet Surface Colonized
Datafile_StellarObjTypes 15                            := Combat Tile
Datafile_StellarObjTypes 16                            := Field Size
Datafile_StellarObjTypes 17                            := Field Physical Type
Datafile_StellarObjTypes 18                            := Star Size
Datafile_StellarObjTypes 19                            := Star Age
Datafile_StellarObjTypes 20                            := Star Color
Datafile_StellarObjTypes 21                            := Star Luminosity
Datafile_StellarObjTypes 22                            := Warp Point Size
Datafile_StellarObjTypes 23                            := Warp Point One-Way
Datafile_StellarObjTypes 24                            := Unusual
Datafile_StellarObjTypes 25                            := Storm Size
Datafile_StellarObjTypes 26                            := Comet Size
Datafile_StellarObjTypes 27                            := Planet Gravity
Datafile_StellarObjTypes 28                            := Planet Temperature
Datafile_StellarObjTypes 29                            := Planet Radiation
Datafile_StellarObjTypes 30                            := [%PlanetSize%]
Datafile_StellarObjTypes 31                            := [%HexDistanceToCenter%]
Datafile_StellarObjTypes 32                            := [%NumberOfStars%]
