=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray

Stellar Object Name        := Planet Ven 0008 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0008 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 534
Portrait Filename          := planet_ven_0008_small.bmp
Large Portrait Filename    := planet_ven_0008_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0009 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0009 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 539
Portrait Filename          := planet_ven_0009_small.bmp
Large Portrait Filename    := planet_ven_0009_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0024 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0024 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 614
Portrait Filename          := planet_ven_0024_small.bmp
Large Portrait Filename    := planet_ven_0024_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0025 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0025 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 619
Portrait Filename          := planet_ven_0025_small.bmp
Large Portrait Filename    := planet_ven_0025_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0026 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0026 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 624
Portrait Filename          := planet_ven_0026_small.bmp
Large Portrait Filename    := planet_ven_0026_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Terr 0006 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0006 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 404
Portrait Filename          := planet_terr_0006_small.bmp
Large Portrait Filename    := planet_terr_0006_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0010 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0010 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 544
Portrait Filename          := planet_ven_0010_small.bmp
Large Portrait Filename    := planet_ven_0010_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0018 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0018 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 584
Portrait Filename          := planet_ven_0018_small.bmp
Large Portrait Filename    := planet_ven_0018_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0022 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0022 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 604
Portrait Filename          := planet_ven_0022_small.bmp
Large Portrait Filename    := planet_ven_0022_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0023 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0023 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 609
Portrait Filename          := planet_ven_0023_small.bmp
Large Portrait Filename    := planet_ven_0023_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Terr 0001 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0001 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 379
Portrait Filename          := planet_terr_0001_small.bmp
Large Portrait Filename    := planet_terr_0001_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0003 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0003 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 389
Portrait Filename          := planet_terr_0003_small.bmp
Large Portrait Filename    := planet_terr_0003_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0004 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0004 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 394
Portrait Filename          := planet_terr_0004_small.bmp
Large Portrait Filename    := planet_terr_0004_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0005 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0005 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 399
Portrait Filename          := planet_terr_0005_small.bmp
Large Portrait Filename    := planet_terr_0005_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0007 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0007 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 409
Portrait Filename          := planet_terr_0007_small.bmp
Large Portrait Filename    := planet_terr_0007_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0008 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0008 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 414
Portrait Filename          := planet_terr_0008_small.bmp
Large Portrait Filename    := planet_terr_0008_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0009 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0009 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 419
Portrait Filename          := planet_terr_0009_small.bmp
Large Portrait Filename    := planet_terr_0009_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0010 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0010 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 424
Portrait Filename          := planet_terr_0010_small.bmp
Large Portrait Filename    := planet_terr_0010_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0011 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0011 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 429
Portrait Filename          := planet_terr_0011_small.bmp
Large Portrait Filename    := planet_terr_0011_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0012 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0012 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 434
Portrait Filename          := planet_terr_0012_small.bmp
Large Portrait Filename    := planet_terr_0012_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0013 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0013 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 439
Portrait Filename          := planet_terr_0013_small.bmp
Large Portrait Filename    := planet_terr_0013_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0014 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0014 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 444
Portrait Filename          := planet_terr_0014_small.bmp
Large Portrait Filename    := planet_terr_0014_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0015 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0015 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 449
Portrait Filename          := planet_terr_0015_small.bmp
Large Portrait Filename    := planet_terr_0015_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0016 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0016 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 454
Portrait Filename          := planet_terr_0016_small.bmp
Large Portrait Filename    := planet_terr_0016_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0017 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0017 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 459
Portrait Filename          := planet_terr_0017_small.bmp
Large Portrait Filename    := planet_terr_0017_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0018 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0018 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 464
Portrait Filename          := planet_terr_0018_small.bmp
Large Portrait Filename    := planet_terr_0018_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0019 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0019 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 469
Portrait Filename          := planet_terr_0019_small.bmp
Large Portrait Filename    := planet_terr_0019_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0020 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0020 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 474
Portrait Filename          := planet_terr_0020_small.bmp
Large Portrait Filename    := planet_terr_0020_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0021 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0021 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 479
Portrait Filename          := planet_terr_0021_small.bmp
Large Portrait Filename    := planet_terr_0021_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0022 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0022 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 484
Portrait Filename          := planet_terr_0022_small.bmp
Large Portrait Filename    := planet_terr_0022_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0001 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0001 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 499
Portrait Filename          := planet_ven_0001_small.bmp
Large Portrait Filename    := planet_ven_0001_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0005 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0005 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 519
Portrait Filename          := planet_ven_0005_small.bmp
Large Portrait Filename    := planet_ven_0005_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0003 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0003 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 509
Portrait Filename          := planet_ven_0003_small.bmp
Large Portrait Filename    := planet_ven_0003_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0004 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0004 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 514
Portrait Filename          := planet_ven_0004_small.bmp
Large Portrait Filename    := planet_ven_0004_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0012 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0012 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 554
Portrait Filename          := planet_ven_0012_small.bmp
Large Portrait Filename    := planet_ven_0012_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0013 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0013 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 559
Portrait Filename          := planet_ven_0013_small.bmp
Large Portrait Filename    := planet_ven_0013_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0014 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0014 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 564
Portrait Filename          := planet_ven_0014_small.bmp
Large Portrait Filename    := planet_ven_0014_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0015 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0015 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 569
Portrait Filename          := planet_ven_0015_small.bmp
Large Portrait Filename    := planet_ven_0015_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0020 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0020 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 594
Portrait Filename          := planet_ven_0020_small.bmp
Large Portrait Filename    := planet_ven_0020_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0016 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0016 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 574
Portrait Filename          := planet_ven_0016_small.bmp
Large Portrait Filename    := planet_ven_0016_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0017 Small
Physical Type              := Planet
XFile Class Name           := Planet Ven 0017 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 579
Portrait Filename          := planet_ven_0017_small.bmp
Large Portrait Filename    := planet_ven_0017_small_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Terr 0002 Small
Physical Type              := Planet
XFile Class Name           := Planet Terr 0002 Small
Maximum Model Size         := 10.0
Hex Size                   := 1
Picture Index              := 384
Portrait Filename          := planet_terr_0002_small.bmp
Large Portrait Filename    := planet_terr_0002_small_lp.jpg
Description                := 
Planet Size                := Small
